Carpeta;Nombre del archivo;Planta;Enfermedad Inglés;Saludable;Planta_Estado;Planta Español;Planta_Estado_Español;Nombre traducido por GPT;Nombre Coloquial en Colombia;Nombre Coloquial en TV
Strawberry__healthy;8f558908-aa1b-4a86-855a-5094c2392e5a___RS_HL 1973.JPG;Strawberry;healthy;Si;Strawberry_healthy;Fresa;Fresa_Saludable;Saludable;Saludable;Saludable
Strawberry__healthy;b8e9ed27-8e37-4214-9206-f8c0ef21cf4d___RS_HL 4847.JPG;Strawberry;healthy;Si;Strawberry_healthy;Fresa;Fresa_Saludable;Saludable;Saludable;Saludable
Strawberry__healthy;d1aee44a-b6bb-45b9-b7b6-5d553add8fd1___RS_HL 2163.JPG;Strawberry;healthy;Si;Strawberry_healthy;Fresa;Fresa_Saludable;Saludable;Saludable;Saludable
Strawberry__healthy;4005fb13-0d7c-4a30-9ee3-73e9e4cee05e___RS_HL 1688.JPG;Strawberry;healthy;Si;Strawberry_healthy;Fresa;Fresa_Saludable;Saludable;Saludable;Saludable
Strawberry__healthy;a5db3b2a-9806-45c1-b1f8-9d6f414222f2___RS_HL 2067.JPG;Strawberry;healthy;Si;Strawberry_healthy;Fresa;Fresa_Saludable;Saludable;Saludable;Saludable
Strawberry__healthy;c4eca43a-adf9-4d30-a990-8b177165fb04___RS_HL 4708.JPG;Strawberry;healthy;Si;Strawberry_healthy;Fresa;Fresa_Saludable;Saludable;Saludable;Saludable
Strawberry__healthy;33d585b6-736d-4767-9004-2444f4916fd9___RS_HL 4360.JPG;Strawberry;healthy;Si;Strawberry_healthy;Fresa;Fresa_Saludable;Saludable;Saludable;Saludable
Strawberry__healthy;d454c3f8-ca2e-4935-9c09-3b6a480ac097___RS_HL 1870.JPG;Strawberry;healthy;Si;Strawberry_healthy;Fresa;Fresa_Saludable;Saludable;Saludable;Saludable
Strawberry__healthy;03fe6806-ca61-46c1-8889-45e40228c168___RS_HL 4632.JPG;Strawberry;healthy;Si;Strawberry_healthy;Fresa;Fresa_Saludable;Saludable;Saludable;Saludable
Strawberry__healthy;7ba8b9d1-9f10-479c-901a-b038f042f0ce___RS_HL 4749.JPG;Strawberry;healthy;Si;Strawberry_healthy;Fresa;Fresa_Saludable;Saludable;Saludable;Saludable
Strawberry__healthy;f23cfb59-4e9d-43b0-820a-99d9cc624c04___RS_HL 4618.JPG;Strawberry;healthy;Si;Strawberry_healthy;Fresa;Fresa_Saludable;Saludable;Saludable;Saludable
Strawberry__healthy;968be429-8b72-401a-ba28-9552faf35e66___RS_HL 1921.JPG;Strawberry;healthy;Si;Strawberry_healthy;Fresa;Fresa_Saludable;Saludable;Saludable;Saludable
Strawberry__healthy;e178986b-223c-4da1-8c0f-2314de66df55___RS_HL 2042.JPG;Strawberry;healthy;Si;Strawberry_healthy;Fresa;Fresa_Saludable;Saludable;Saludable;Saludable
Strawberry__healthy;00e9a277-ca5e-4350-95ce-8b2918b69fb9___RS_HL 4667.JPG;Strawberry;healthy;Si;Strawberry_healthy;Fresa;Fresa_Saludable;Saludable;Saludable;Saludable
Strawberry__healthy;941b6567-8f4e-4092-a954-911fbde578d7___RS_HL 2040.JPG;Strawberry;healthy;Si;Strawberry_healthy;Fresa;Fresa_Saludable;Saludable;Saludable;Saludable
Strawberry__healthy;a386a7c2-9a92-4dd3-bffc-713d3a545b1f___RS_HL 1848.JPG;Strawberry;healthy;Si;Strawberry_healthy;Fresa;Fresa_Saludable;Saludable;Saludable;Saludable
Strawberry__healthy;4197c213-9bf6-4b26-aff1-77a73c45ae1a___RS_HL 2117.JPG;Strawberry;healthy;Si;Strawberry_healthy;Fresa;Fresa_Saludable;Saludable;Saludable;Saludable
Strawberry__healthy;675046ac-bf24-4ac4-ae18-0623ed00ec3f___RS_HL 4829.JPG;Strawberry;healthy;Si;Strawberry_healthy;Fresa;Fresa_Saludable;Saludable;Saludable;Saludable
Strawberry__healthy;0f79c593-bcf2-4a5b-baac-6433f3037a89___RS_HL 2022.JPG;Strawberry;healthy;Si;Strawberry_healthy;Fresa;Fresa_Saludable;Saludable;Saludable;Saludable
Strawberry__healthy;3b744062-8dff-416e-9349-3bae2aae5eaa___RS_HL 4345.JPG;Strawberry;healthy;Si;Strawberry_healthy;Fresa;Fresa_Saludable;Saludable;Saludable;Saludable
Strawberry__healthy;d7ba4287-1140-40e5-9c9b-d596dbab6198___RS_HL 4370.JPG;Strawberry;healthy;Si;Strawberry_healthy;Fresa;Fresa_Saludable;Saludable;Saludable;Saludable
Strawberry__healthy;98e1c44c-f11b-4e0c-9450-c465feb62846___RS_HL 4770.JPG;Strawberry;healthy;Si;Strawberry_healthy;Fresa;Fresa_Saludable;Saludable;Saludable;Saludable
Strawberry__healthy;47f2b614-506f-469d-a939-a081d056d3b5___RS_HL 1863.JPG;Strawberry;healthy;Si;Strawberry_healthy;Fresa;Fresa_Saludable;Saludable;Saludable;Saludable
Strawberry__healthy;1a119565-0295-4692-95cd-fbc32728f855___RS_HL 1853.JPG;Strawberry;healthy;Si;Strawberry_healthy;Fresa;Fresa_Saludable;Saludable;Saludable;Saludable
Strawberry__healthy;4c953897-2924-49cc-a504-e4249b012d18___RS_HL 4869.JPG;Strawberry;healthy;Si;Strawberry_healthy;Fresa;Fresa_Saludable;Saludable;Saludable;Saludable
Strawberry__healthy;f5c2a553-b9af-4141-a6ba-5a4af090db7d___RS_HL 2068.JPG;Strawberry;healthy;Si;Strawberry_healthy;Fresa;Fresa_Saludable;Saludable;Saludable;Saludable
Strawberry__healthy;15b3921b-acae-4865-b99e-f4fe81c84e7d___RS_HL 1724.JPG;Strawberry;healthy;Si;Strawberry_healthy;Fresa;Fresa_Saludable;Saludable;Saludable;Saludable
Strawberry__healthy;60fba47d-a79f-4653-b6a4-1adeeb2603c0___RS_HL 1871.JPG;Strawberry;healthy;Si;Strawberry_healthy;Fresa;Fresa_Saludable;Saludable;Saludable;Saludable
Strawberry__healthy;75d24cc5-b37f-42de-947f-dc7ee673674e___RS_HL 4571.JPG;Strawberry;healthy;Si;Strawberry_healthy;Fresa;Fresa_Saludable;Saludable;Saludable;Saludable
Strawberry__healthy;38292ca8-c7fe-4ba5-837f-c98c714ab099___RS_HL 4608.JPG;Strawberry;healthy;Si;Strawberry_healthy;Fresa;Fresa_Saludable;Saludable;Saludable;Saludable
Strawberry__healthy;56bce402-3d38-4f90-b20c-72886a47a072___RS_HL 1704.JPG;Strawberry;healthy;Si;Strawberry_healthy;Fresa;Fresa_Saludable;Saludable;Saludable;Saludable
Strawberry__healthy;4673c301-00c4-4953-95e0-5badca7ff0a3___RS_HL 4661.JPG;Strawberry;healthy;Si;Strawberry_healthy;Fresa;Fresa_Saludable;Saludable;Saludable;Saludable
Strawberry__healthy;f0d8204d-af72-4027-82d3-a91a889a6b7d___RS_HL 4694.JPG;Strawberry;healthy;Si;Strawberry_healthy;Fresa;Fresa_Saludable;Saludable;Saludable;Saludable
Strawberry__healthy;7d6ed1f3-f7c9-48a8-a363-bf2ea58f3f67___RS_HL 4839.JPG;Strawberry;healthy;Si;Strawberry_healthy;Fresa;Fresa_Saludable;Saludable;Saludable;Saludable
Strawberry__healthy;80372fb3-2a02-4989-9396-6732cd47cb75___RS_HL 1623.JPG;Strawberry;healthy;Si;Strawberry_healthy;Fresa;Fresa_Saludable;Saludable;Saludable;Saludable
Strawberry__healthy;ce4aa9cf-c499-4ed5-bdfd-f7be230b3bfb___RS_HL 4523.JPG;Strawberry;healthy;Si;Strawberry_healthy;Fresa;Fresa_Saludable;Saludable;Saludable;Saludable
Strawberry__healthy;90ffc406-a0e7-4f94-98a9-3813e3ce6cc3___RS_HL 1898.JPG;Strawberry;healthy;Si;Strawberry_healthy;Fresa;Fresa_Saludable;Saludable;Saludable;Saludable
Strawberry__healthy;0370bc9b-c0c8-49b5-b999-c44323c45216___RS_HL 2202.JPG;Strawberry;healthy;Si;Strawberry_healthy;Fresa;Fresa_Saludable;Saludable;Saludable;Saludable
Strawberry__healthy;f799141e-8ab5-4924-b54a-2b374d22798a___RS_HL 4604.JPG;Strawberry;healthy;Si;Strawberry_healthy;Fresa;Fresa_Saludable;Saludable;Saludable;Saludable
Strawberry__healthy;23d4fa2f-a966-44a3-a597-b39a79618378___RS_HL 1744.JPG;Strawberry;healthy;Si;Strawberry_healthy;Fresa;Fresa_Saludable;Saludable;Saludable;Saludable
Strawberry__healthy;5f13420e-16bb-4aa8-9869-051e0b937ec1___RS_HL 4543.JPG;Strawberry;healthy;Si;Strawberry_healthy;Fresa;Fresa_Saludable;Saludable;Saludable;Saludable
Strawberry__healthy;7cc70e2f-3727-428a-a414-02dd59f96ae3___RS_HL 4755.JPG;Strawberry;healthy;Si;Strawberry_healthy;Fresa;Fresa_Saludable;Saludable;Saludable;Saludable
Strawberry__healthy;58265359-4fa0-458c-9c5f-5774d94b3088___RS_HL 1737.JPG;Strawberry;healthy;Si;Strawberry_healthy;Fresa;Fresa_Saludable;Saludable;Saludable;Saludable
Strawberry__healthy;8e5be35a-21e9-4031-83a7-26b09f0cae7a___RS_HL 4472.JPG;Strawberry;healthy;Si;Strawberry_healthy;Fresa;Fresa_Saludable;Saludable;Saludable;Saludable
Strawberry__healthy;963dd16b-956b-44c4-b2e8-bfdd1beed6a9___RS_HL 4371.JPG;Strawberry;healthy;Si;Strawberry_healthy;Fresa;Fresa_Saludable;Saludable;Saludable;Saludable
Strawberry__healthy;ffc5256e-56f2-4448-827a-81bbd1b06be6___RS_HL 4574.JPG;Strawberry;healthy;Si;Strawberry_healthy;Fresa;Fresa_Saludable;Saludable;Saludable;Saludable
Strawberry__healthy;89e133b4-9f70-4711-a14e-2535ae3a00ee___RS_HL 4792.JPG;Strawberry;healthy;Si;Strawberry_healthy;Fresa;Fresa_Saludable;Saludable;Saludable;Saludable
Strawberry__healthy;1a28038d-0e6d-4ac7-94d1-76d30fc89d71___RS_HL 2058.JPG;Strawberry;healthy;Si;Strawberry_healthy;Fresa;Fresa_Saludable;Saludable;Saludable;Saludable
Strawberry__healthy;2b349e9d-0131-444a-acda-9b4154073cb5___RS_HL 4507.JPG;Strawberry;healthy;Si;Strawberry_healthy;Fresa;Fresa_Saludable;Saludable;Saludable;Saludable
Strawberry__healthy;ec4ad3dd-4feb-4027-8cab-3cca8428eeb4___RS_HL 4705.JPG;Strawberry;healthy;Si;Strawberry_healthy;Fresa;Fresa_Saludable;Saludable;Saludable;Saludable
Strawberry__healthy;97af749a-c269-4ec5-92b1-6e7384dba46b___RS_HL 4344.JPG;Strawberry;healthy;Si;Strawberry_healthy;Fresa;Fresa_Saludable;Saludable;Saludable;Saludable
Strawberry__healthy;fad0fc0b-4619-422e-8c59-d5bab6469af4___RS_HL 4737.JPG;Strawberry;healthy;Si;Strawberry_healthy;Fresa;Fresa_Saludable;Saludable;Saludable;Saludable
Strawberry__healthy;95353a0f-fa08-4055-8fa2-a82c8470ced8___RS_HL 4511.JPG;Strawberry;healthy;Si;Strawberry_healthy;Fresa;Fresa_Saludable;Saludable;Saludable;Saludable
Strawberry__healthy;72e7a6fb-c71a-437d-82f0-2032a43998c7___RS_HL 1702.JPG;Strawberry;healthy;Si;Strawberry_healthy;Fresa;Fresa_Saludable;Saludable;Saludable;Saludable
Strawberry__healthy;7673a7d4-c27f-44c5-96a8-c9f133878ba0___RS_HL 2240.JPG;Strawberry;healthy;Si;Strawberry_healthy;Fresa;Fresa_Saludable;Saludable;Saludable;Saludable
Strawberry__healthy;f58ee24e-67e0-4883-a6b9-9591634e535c___RS_HL 1949.JPG;Strawberry;healthy;Si;Strawberry_healthy;Fresa;Fresa_Saludable;Saludable;Saludable;Saludable
Strawberry__healthy;812cfed0-4517-4025-9163-cddc549b93cf___RS_HL 4756.JPG;Strawberry;healthy;Si;Strawberry_healthy;Fresa;Fresa_Saludable;Saludable;Saludable;Saludable
Strawberry__healthy;ff7ccace-1453-44e8-8580-3263c2952ea8___RS_HL 2006.JPG;Strawberry;healthy;Si;Strawberry_healthy;Fresa;Fresa_Saludable;Saludable;Saludable;Saludable
Strawberry__healthy;2dd9d66d-56e4-4c31-a782-502526621455___RS_HL 2010.JPG;Strawberry;healthy;Si;Strawberry_healthy;Fresa;Fresa_Saludable;Saludable;Saludable;Saludable
Strawberry__healthy;577164f8-3653-4347-a51e-ac0f67ef5a43___RS_HL 2158.JPG;Strawberry;healthy;Si;Strawberry_healthy;Fresa;Fresa_Saludable;Saludable;Saludable;Saludable
Strawberry__healthy;bc26adda-8cdb-43cc-8485-4b2088e233ea___RS_HL 4866.JPG;Strawberry;healthy;Si;Strawberry_healthy;Fresa;Fresa_Saludable;Saludable;Saludable;Saludable
Strawberry__healthy;b37b7fa8-117a-43ae-ac02-d960195833a3___RS_HL 4492.JPG;Strawberry;healthy;Si;Strawberry_healthy;Fresa;Fresa_Saludable;Saludable;Saludable;Saludable
Strawberry__healthy;bf156be7-0764-4fdf-822a-568a93501825___RS_HL 1886.JPG;Strawberry;healthy;Si;Strawberry_healthy;Fresa;Fresa_Saludable;Saludable;Saludable;Saludable
Strawberry__healthy;f076aa8c-cacf-48b0-8a0f-764e7498407d___RS_HL 4826.JPG;Strawberry;healthy;Si;Strawberry_healthy;Fresa;Fresa_Saludable;Saludable;Saludable;Saludable
Strawberry__healthy;f34a22a5-fa67-436d-872e-bdff52296a9b___RS_HL 2148.JPG;Strawberry;healthy;Si;Strawberry_healthy;Fresa;Fresa_Saludable;Saludable;Saludable;Saludable
Strawberry__healthy;1e007f9a-6e90-4dd6-9be9-f0ce3775128f___RS_HL 2076.JPG;Strawberry;healthy;Si;Strawberry_healthy;Fresa;Fresa_Saludable;Saludable;Saludable;Saludable
Strawberry__healthy;958d4cb9-4f30-4418-80f6-124d221fb3c1___RS_HL 1764.JPG;Strawberry;healthy;Si;Strawberry_healthy;Fresa;Fresa_Saludable;Saludable;Saludable;Saludable
Strawberry__healthy;1171891a-bfa5-461f-803c-590f622b0f1c___RS_HL 4382.JPG;Strawberry;healthy;Si;Strawberry_healthy;Fresa;Fresa_Saludable;Saludable;Saludable;Saludable
Strawberry__healthy;2df352eb-8c72-4a03-9cd6-b94e38e41bb3___RS_HL 1967.JPG;Strawberry;healthy;Si;Strawberry_healthy;Fresa;Fresa_Saludable;Saludable;Saludable;Saludable
Strawberry__healthy;dc5b5a9e-c144-49d7-99ca-b53a818f83d8___RS_HL 4744.JPG;Strawberry;healthy;Si;Strawberry_healthy;Fresa;Fresa_Saludable;Saludable;Saludable;Saludable
Strawberry__healthy;6829e297-83c4-4032-9fb2-34baf6bb64e7___RS_HL 4576.JPG;Strawberry;healthy;Si;Strawberry_healthy;Fresa;Fresa_Saludable;Saludable;Saludable;Saludable
Strawberry__healthy;caa95a07-527a-4ceb-923a-40c717c872b8___RS_HL 1916.JPG;Strawberry;healthy;Si;Strawberry_healthy;Fresa;Fresa_Saludable;Saludable;Saludable;Saludable
Strawberry__healthy;a6badbd1-59ff-4476-8b56-e2a61e993918___RS_HL 4603.JPG;Strawberry;healthy;Si;Strawberry_healthy;Fresa;Fresa_Saludable;Saludable;Saludable;Saludable
Strawberry__healthy;02808b3e-ae88-4259-9b2c-f9096db336e4___RS_HL 1827.JPG;Strawberry;healthy;Si;Strawberry_healthy;Fresa;Fresa_Saludable;Saludable;Saludable;Saludable
Strawberry__healthy;741e834f-a63a-4efd-b961-d5f7e047abdc___RS_HL 2085.JPG;Strawberry;healthy;Si;Strawberry_healthy;Fresa;Fresa_Saludable;Saludable;Saludable;Saludable
Strawberry__healthy;bf2896d7-8289-4198-ae01-c8870ccda768___RS_HL 2204.JPG;Strawberry;healthy;Si;Strawberry_healthy;Fresa;Fresa_Saludable;Saludable;Saludable;Saludable
Strawberry__healthy;c051460a-5c1c-4a9e-8921-0150225545fa___RS_HL 4849.JPG;Strawberry;healthy;Si;Strawberry_healthy;Fresa;Fresa_Saludable;Saludable;Saludable;Saludable
Strawberry__healthy;243609c1-0a35-4474-8f7c-02dc34044735___RS_HL 1663.JPG;Strawberry;healthy;Si;Strawberry_healthy;Fresa;Fresa_Saludable;Saludable;Saludable;Saludable
Strawberry__healthy;878d53af-ce12-4389-948e-6a75a3654f4a___RS_HL 4578.JPG;Strawberry;healthy;Si;Strawberry_healthy;Fresa;Fresa_Saludable;Saludable;Saludable;Saludable
Strawberry__healthy;400f7591-91a9-4835-ab0d-d5c0fc210a54___RS_HL 1776.JPG;Strawberry;healthy;Si;Strawberry_healthy;Fresa;Fresa_Saludable;Saludable;Saludable;Saludable
Strawberry__healthy;99140b91-93f1-4ccf-9761-e0370717baf6___RS_HL 4552.JPG;Strawberry;healthy;Si;Strawberry_healthy;Fresa;Fresa_Saludable;Saludable;Saludable;Saludable
Strawberry__healthy;b6c7ab0a-7c78-4c75-aa71-878972b5a4b4___RS_HL 4569.JPG;Strawberry;healthy;Si;Strawberry_healthy;Fresa;Fresa_Saludable;Saludable;Saludable;Saludable
Strawberry__healthy;70c3ebc3-9917-4ed7-920b-e83719e6c414___RS_HL 1926.JPG;Strawberry;healthy;Si;Strawberry_healthy;Fresa;Fresa_Saludable;Saludable;Saludable;Saludable
Strawberry__healthy;b30220c5-0c39-4953-8e0b-1a2236fd4a8b___RS_HL 4399.JPG;Strawberry;healthy;Si;Strawberry_healthy;Fresa;Fresa_Saludable;Saludable;Saludable;Saludable
Strawberry__healthy;6419aea0-0a20-4ec6-bda4-5fcdda4eadd8___RS_HL 1930.JPG;Strawberry;healthy;Si;Strawberry_healthy;Fresa;Fresa_Saludable;Saludable;Saludable;Saludable
Strawberry__healthy;b7006ce4-c162-4b5c-bd74-78ea0a63a558___RS_HL 1939.JPG;Strawberry;healthy;Si;Strawberry_healthy;Fresa;Fresa_Saludable;Saludable;Saludable;Saludable
Strawberry__healthy;411e3372-e40e-44ed-aa47-972afabd15f7___RS_HL 2225.JPG;Strawberry;healthy;Si;Strawberry_healthy;Fresa;Fresa_Saludable;Saludable;Saludable;Saludable
Strawberry__healthy;4f288160-7226-425e-afe7-826fb19af650___RS_HL 2043.JPG;Strawberry;healthy;Si;Strawberry_healthy;Fresa;Fresa_Saludable;Saludable;Saludable;Saludable
Strawberry__healthy;dc05a60e-5939-4e59-bfee-890db52986cc___RS_HL 2014.JPG;Strawberry;healthy;Si;Strawberry_healthy;Fresa;Fresa_Saludable;Saludable;Saludable;Saludable
Strawberry__healthy;e5c27a76-cadf-4595-927f-c9a097a06587___RS_HL 1950.JPG;Strawberry;healthy;Si;Strawberry_healthy;Fresa;Fresa_Saludable;Saludable;Saludable;Saludable
Strawberry__healthy;975a4f22-0c55-4d2a-a4a2-e8686acc9897___RS_HL 1799.JPG;Strawberry;healthy;Si;Strawberry_healthy;Fresa;Fresa_Saludable;Saludable;Saludable;Saludable
Strawberry__healthy;1245a96d-9a84-402d-9dde-da8c88bf7d74___RS_HL 4474.JPG;Strawberry;healthy;Si;Strawberry_healthy;Fresa;Fresa_Saludable;Saludable;Saludable;Saludable
Strawberry__healthy;bf79e7f8-5b1e-4acd-b4aa-7c023fb284e1___RS_HL 4699.JPG;Strawberry;healthy;Si;Strawberry_healthy;Fresa;Fresa_Saludable;Saludable;Saludable;Saludable
Strawberry__healthy;8dc1f163-cf56-4951-a9e3-768b383cc5fd___RS_HL 4762.JPG;Strawberry;healthy;Si;Strawberry_healthy;Fresa;Fresa_Saludable;Saludable;Saludable;Saludable
Strawberry__healthy;bc67ea12-4c8f-443f-a815-87eeeb2e78b3___RS_HL 4476.JPG;Strawberry;healthy;Si;Strawberry_healthy;Fresa;Fresa_Saludable;Saludable;Saludable;Saludable
Strawberry__healthy;65880698-1582-43e9-86c4-3dfcea34ee8d___RS_HL 1654.JPG;Strawberry;healthy;Si;Strawberry_healthy;Fresa;Fresa_Saludable;Saludable;Saludable;Saludable
Strawberry__healthy;afc77a38-521f-457d-ba97-1547276d1182___RS_HL 4854.JPG;Strawberry;healthy;Si;Strawberry_healthy;Fresa;Fresa_Saludable;Saludable;Saludable;Saludable
Strawberry__healthy;a0e41138-6377-41d2-a339-94ad75279f95___RS_HL 1896.JPG;Strawberry;healthy;Si;Strawberry_healthy;Fresa;Fresa_Saludable;Saludable;Saludable;Saludable
Strawberry__healthy;562ea8c6-b573-4f3a-913f-7b621c77d312___RS_HL 2198.JPG;Strawberry;healthy;Si;Strawberry_healthy;Fresa;Fresa_Saludable;Saludable;Saludable;Saludable
Strawberry__healthy;da93ba82-4070-4373-b818-a6fea8c91351___RS_HL 4724.JPG;Strawberry;healthy;Si;Strawberry_healthy;Fresa;Fresa_Saludable;Saludable;Saludable;Saludable
Strawberry__healthy;53f62244-534b-49c3-ac2d-c26a1d279b97___RS_HL 2151.JPG;Strawberry;healthy;Si;Strawberry_healthy;Fresa;Fresa_Saludable;Saludable;Saludable;Saludable
Strawberry__healthy;19a8e3cb-c287-4871-9cb3-23e17fd5bf27___RS_HL 2160.JPG;Strawberry;healthy;Si;Strawberry_healthy;Fresa;Fresa_Saludable;Saludable;Saludable;Saludable
Strawberry__healthy;15bd3182-f1d2-4d75-b54e-9aca616cec66___RS_HL 2077.JPG;Strawberry;healthy;Si;Strawberry_healthy;Fresa;Fresa_Saludable;Saludable;Saludable;Saludable
Strawberry__healthy;64531481-3721-4073-879e-d1db62204a2f___RS_HL 1932.JPG;Strawberry;healthy;Si;Strawberry_healthy;Fresa;Fresa_Saludable;Saludable;Saludable;Saludable
Strawberry__healthy;0b444634-b557-45f4-a68a-8e9e38cd6683___RS_HL 2184.JPG;Strawberry;healthy;Si;Strawberry_healthy;Fresa;Fresa_Saludable;Saludable;Saludable;Saludable
Strawberry__healthy;93e51b7e-3a41-40e3-9790-c5eeb86a4d61___RS_HL 4706.JPG;Strawberry;healthy;Si;Strawberry_healthy;Fresa;Fresa_Saludable;Saludable;Saludable;Saludable
Strawberry__healthy;60646de2-333f-40b6-bdf9-f0d1d0e91271___RS_HL 4795.JPG;Strawberry;healthy;Si;Strawberry_healthy;Fresa;Fresa_Saludable;Saludable;Saludable;Saludable
Strawberry__healthy;1cb7b773-be85-4c1e-88b7-9a598089ebb0___RS_HL 1805.JPG;Strawberry;healthy;Si;Strawberry_healthy;Fresa;Fresa_Saludable;Saludable;Saludable;Saludable
Strawberry__healthy;59f517ea-070a-4d91-97bb-936c620bbeb5___RS_HL 4583.JPG;Strawberry;healthy;Si;Strawberry_healthy;Fresa;Fresa_Saludable;Saludable;Saludable;Saludable
Strawberry__healthy;14b39aa2-a081-45a5-ba2d-79d21f9b29a1___RS_HL 1972.JPG;Strawberry;healthy;Si;Strawberry_healthy;Fresa;Fresa_Saludable;Saludable;Saludable;Saludable
Strawberry__healthy;9a894681-b411-4940-b60e-54ea17cde765___RS_HL 4496.JPG;Strawberry;healthy;Si;Strawberry_healthy;Fresa;Fresa_Saludable;Saludable;Saludable;Saludable
Strawberry__healthy;95330a25-8603-4af7-8be9-0d8f7a7241a0___RS_HL 1643.JPG;Strawberry;healthy;Si;Strawberry_healthy;Fresa;Fresa_Saludable;Saludable;Saludable;Saludable
Strawberry__healthy;a950850a-d4ac-4b69-ac73-60633aae3255___RS_HL 4683.JPG;Strawberry;healthy;Si;Strawberry_healthy;Fresa;Fresa_Saludable;Saludable;Saludable;Saludable
Strawberry__healthy;b286b552-0eb4-437b-8837-ffc5b9e153be___RS_HL 4557.JPG;Strawberry;healthy;Si;Strawberry_healthy;Fresa;Fresa_Saludable;Saludable;Saludable;Saludable
Strawberry__healthy;fc93155b-55bc-4cab-8807-e5cc6f896384___RS_HL 2082.JPG;Strawberry;healthy;Si;Strawberry_healthy;Fresa;Fresa_Saludable;Saludable;Saludable;Saludable
Strawberry__healthy;998f4c67-2e7e-4881-a865-4ce2dc940a43___RS_HL 1851.JPG;Strawberry;healthy;Si;Strawberry_healthy;Fresa;Fresa_Saludable;Saludable;Saludable;Saludable
Strawberry__healthy;02ecedef-e743-4909-a000-bff6ff373b6c___RS_HL 2222.JPG;Strawberry;healthy;Si;Strawberry_healthy;Fresa;Fresa_Saludable;Saludable;Saludable;Saludable
Strawberry__healthy;5c7bf62d-3c64-4738-8378-d530b9f73cc1___RS_HL 4517.JPG;Strawberry;healthy;Si;Strawberry_healthy;Fresa;Fresa_Saludable;Saludable;Saludable;Saludable
Strawberry__healthy;6c4bdcf6-fb2d-4c79-b389-ca44be997a98___RS_HL 2220.JPG;Strawberry;healthy;Si;Strawberry_healthy;Fresa;Fresa_Saludable;Saludable;Saludable;Saludable
Strawberry__healthy;9e5aab8b-acca-4647-9dba-e4c8c7f13ad7___RS_HL 4682.JPG;Strawberry;healthy;Si;Strawberry_healthy;Fresa;Fresa_Saludable;Saludable;Saludable;Saludable
Strawberry__healthy;a164ad90-be59-4ed8-948e-4b734e926490___RS_HL 4645.JPG;Strawberry;healthy;Si;Strawberry_healthy;Fresa;Fresa_Saludable;Saludable;Saludable;Saludable
Strawberry__healthy;f6f867d3-5dee-40fc-a43a-40095a780df8___RS_HL 1858.JPG;Strawberry;healthy;Si;Strawberry_healthy;Fresa;Fresa_Saludable;Saludable;Saludable;Saludable
Strawberry__healthy;0400adad-86e7-4e42-9141-acc0f226e2e7___RS_HL 2111.JPG;Strawberry;healthy;Si;Strawberry_healthy;Fresa;Fresa_Saludable;Saludable;Saludable;Saludable
Strawberry__healthy;961cb53b-3ad0-4b8c-9de3-3bfec73ea444___RS_HL 4340.JPG;Strawberry;healthy;Si;Strawberry_healthy;Fresa;Fresa_Saludable;Saludable;Saludable;Saludable
Strawberry__healthy;cc16d1b1-818c-4a83-a045-5027af514a89___RS_HL 4715.JPG;Strawberry;healthy;Si;Strawberry_healthy;Fresa;Fresa_Saludable;Saludable;Saludable;Saludable
Strawberry__healthy;e3a17b75-038a-440e-8a05-ec81625091e7___RS_HL 4674.JPG;Strawberry;healthy;Si;Strawberry_healthy;Fresa;Fresa_Saludable;Saludable;Saludable;Saludable
Strawberry__healthy;5cb2ec10-af9e-4c1b-baa5-e28b700522f0___RS_HL 4413.JPG;Strawberry;healthy;Si;Strawberry_healthy;Fresa;Fresa_Saludable;Saludable;Saludable;Saludable
Strawberry__healthy;eba54644-386d-4358-88c7-ea6201fe630c___RS_HL 2165.JPG;Strawberry;healthy;Si;Strawberry_healthy;Fresa;Fresa_Saludable;Saludable;Saludable;Saludable
Strawberry__healthy;43c3ba78-39d0-49e8-92f1-34b747f9d1ef___RS_HL 4411.JPG;Strawberry;healthy;Si;Strawberry_healthy;Fresa;Fresa_Saludable;Saludable;Saludable;Saludable
Strawberry__healthy;307ea50d-38f5-4cd5-bfe5-cddc1ad40850___RS_HL 4352.JPG;Strawberry;healthy;Si;Strawberry_healthy;Fresa;Fresa_Saludable;Saludable;Saludable;Saludable
Strawberry__healthy;bc365494-4c30-4a7e-8ecc-0e9876ce313f___RS_HL 4716.JPG;Strawberry;healthy;Si;Strawberry_healthy;Fresa;Fresa_Saludable;Saludable;Saludable;Saludable
Strawberry__healthy;2ac2f01a-2009-4d77-ae77-e3925f513fe0___RS_HL 4443.JPG;Strawberry;healthy;Si;Strawberry_healthy;Fresa;Fresa_Saludable;Saludable;Saludable;Saludable
Strawberry__healthy;4d24a8c7-2a7a-4598-a673-e6c1e856dc23___RS_HL 4469.JPG;Strawberry;healthy;Si;Strawberry_healthy;Fresa;Fresa_Saludable;Saludable;Saludable;Saludable
