Carpeta;Nombre del archivo;Planta_Inglés;Estado_Ingles;Planta_Español;Estado_Español;Planta_Estado
Corn_sick;eda51a46-b237-47c4-b19f-97463e2c303a___RS_GLSp 4618.JPG;Corn;sick;Maíz;Enferma;Maíz_Enferma
Corn_sick;d808adb1-8f84-4b4c-84ca-d3f93a349650___RS_NLB 3534.JPG;Corn;sick;Maíz;Enferma;Maíz_Enferma
Corn_sick;5fc48a9b-7aee-4262-adf3-1102e354dd61___RS_NLB 3690.JPG;Corn;sick;Maíz;Enferma;Maíz_Enferma
Corn_sick;aug_213_RS_Rust 1876.JPG;Corn;sick;Maíz;Enferma;Maíz_Enferma
Corn_sick;RS_Rust 2335.JPG;Corn;sick;Maíz;Enferma;Maíz_Enferma
Corn_sick;RS_Rust 2453.JPG;Corn;sick;Maíz;Enferma;Maíz_Enferma
Corn_sick;7bfceeb5-366f-4cdb-8b5c-9bde0bab6b01___RS_NLB 4010.JPG;Corn;sick;Maíz;Enferma;Maíz_Enferma
Corn_sick;RS_Rust 2447.JPG;Corn;sick;Maíz;Enferma;Maíz_Enferma
Corn_sick;aug_612_ad47f4e8-308f-4c56-b50b-19e4f7fedd6d___RS_GLSp 4583.JPG;Corn;sick;Maíz;Enferma;Maíz_Enferma
Corn_sick;RS_Rust 2321.JPG;Corn;sick;Maíz;Enferma;Maíz_Enferma
Corn_sick;aug_402_a69da8d8-ed56-4bd8-a6ac-4208b8751cf1___RS_GLSp 9278.JPG;Corn;sick;Maíz;Enferma;Maíz_Enferma
Corn_sick;RS_Rust 1628.JPG;Corn;sick;Maíz;Enferma;Maíz_Enferma
Corn_sick;0654aea3-e038-4876-8088-30a1b693fe6c___RS_NLB 3574 copy.jpg;Corn;sick;Maíz;Enferma;Maíz_Enferma
Corn_sick;aug_644_de4b44f2-76c6-40bf-b48a-d69d458bb68d___RS_GLSp 4638 copy 2.jpg;Corn;sick;Maíz;Enferma;Maíz_Enferma
Corn_sick;fd1e7be2-d635-4d70-85ac-f5d68ce7c2d1___RS_GLSp 4450 copy.jpg;Corn;sick;Maíz;Enferma;Maíz_Enferma
Corn_sick;RS_Rust 2309.JPG;Corn;sick;Maíz;Enferma;Maíz_Enferma
Corn_sick;RS_Rust 1600.JPG;Corn;sick;Maíz;Enferma;Maíz_Enferma
Corn_sick;09140ec5-e485-4770-9c5d-dabd9727d6d7___RS_NLB 3721.JPG;Corn;sick;Maíz;Enferma;Maíz_Enferma
Corn_sick;RS_Rust 1614.JPG;Corn;sick;Maíz;Enferma;Maíz_Enferma
