Dataset;Carpeta;Nombre del archivo;Planta;Condición;Saludable;Planta_Estado
Cassava Leaf Disease Classification ;Cassava;1000015157.jpg;Yuca;Cassava Bacterial Blight (CBB);No;Yuca_sick
Cassava Leaf Disease Classification ;Cassava;1000201771.jpg;Yuca;Cassava Mosaic Disease (CMD);No;Yuca_sick
Cassava Leaf Disease Classification ;Cassava;100042118.jpg;Yuca;Cassava Brown Streak Disease (CBSD);No;Yuca_sick
Cassava Leaf Disease Classification ;Cassava;1000723321.jpg;Yuca;Cassava Brown Streak Disease (CBSD);No;Yuca_sick
Cassava Leaf Disease Classification ;Cassava;1000812911.jpg;Yuca;Cassava Mosaic Disease (CMD);No;Yuca_sick
Cassava Leaf Disease Classification ;Cassava;1000837476.jpg;Yuca;Cassava Mosaic Disease (CMD);No;Yuca_sick
Cassava Leaf Disease Classification ;Cassava;1000910826.jpg;Yuca;Cassava Green Mottle (CGM);No;Yuca_sick
Cassava Leaf Disease Classification ;Cassava;1001320321.jpg;Yuca;Cassava Bacterial Blight (CBB);No;Yuca_sick
Cassava Leaf Disease Classification ;Cassava;1001723730.jpg;Yuca;healthy;Si;Yuca_healthy
Cassava Leaf Disease Classification ;Cassava;1001742395.jpg;Yuca;Cassava Mosaic Disease (CMD);No;Yuca_sick
Cassava Leaf Disease Classification ;Cassava;1001749118.jpg;Yuca;Cassava Mosaic Disease (CMD);No;Yuca_sick
Cassava Leaf Disease Classification ;Cassava;100204014.jpg;Yuca;Cassava Mosaic Disease (CMD);No;Yuca_sick
Cassava Leaf Disease Classification ;Cassava;1002088496.jpg;Yuca;Cassava Brown Streak Disease (CBSD);No;Yuca_sick
Cassava Leaf Disease Classification ;Cassava;1002255315.jpg;Yuca;Cassava Mosaic Disease (CMD);No;Yuca_sick
Cassava Leaf Disease Classification ;Cassava;1002394761.jpg;Yuca;Cassava Mosaic Disease (CMD);No;Yuca_sick
Cassava Leaf Disease Classification ;Cassava;1003218714.jpg;Yuca;Cassava Green Mottle (CGM);No;Yuca_sick
Cassava Leaf Disease Classification ;Cassava;1003298598.jpg;Yuca;Cassava Mosaic Disease (CMD);No;Yuca_sick
Cassava Leaf Disease Classification ;Cassava;1003442061.jpg;Yuca;healthy;Si;Yuca_healthy
Cassava Leaf Disease Classification ;Cassava;1003888281.jpg;Yuca;Cassava Bacterial Blight (CBB);No;Yuca_sick
Cassava Leaf Disease Classification ;Cassava;1003987001.jpg;Yuca;Cassava Mosaic Disease (CMD);No;Yuca_sick
Cassava Leaf Disease Classification ;Cassava;1004105566.jpg;Yuca;Cassava Mosaic Disease (CMD);No;Yuca_sick
Cassava Leaf Disease Classification ;Cassava;1004163647.jpg;Yuca;Cassava Mosaic Disease (CMD);No;Yuca_sick
Cassava Leaf Disease Classification ;Cassava;1004389140.jpg;Yuca;Cassava Brown Streak Disease (CBSD);No;Yuca_sick
Cassava Leaf Disease Classification ;Cassava;1004672608.jpg;Yuca;Cassava Mosaic Disease (CMD);No;Yuca_sick
Cassava Leaf Disease Classification ;Cassava;100472565.jpg;Yuca;Cassava Green Mottle (CGM);No;Yuca_sick
Cassava Leaf Disease Classification ;Cassava;1004826518.jpg;Yuca;Cassava Green Mottle (CGM);No;Yuca_sick
