Carpeta,Nombre del archivo,Planta,Condición,Saludable
cauliflower-downy_mildew,cauliflower_Downy Mildew. (130).jpg,cauliflower,downy_mildew,No
cauliflower-downy_mildew,cauliflower_Downy Mildew. (94).jpg,cauliflower,downy_mildew,No
cauliflower-downy_mildew,cauliflower_Downy Mildew. (82).jpg,cauliflower,downy_mildew,No
cauliflower-downy_mildew,cauliflower_Downy Mildew. (126).jpg,cauliflower,downy_mildew,No
cauliflower-downy_mildew,cauliflower_Downy Mildew. (4).jpg,cauliflower,downy_mildew,No
cauliflower-downy_mildew,cauliflower_Downy Mildew. (41).jpg,cauliflower,downy_mildew,No
cauliflower-downy_mildew,cauliflower_Downy Mildew. (16).jpg,cauliflower,downy_mildew,No
cauliflower-downy_mildew,cauliflower_Downy Mildew. (57).jpg,cauliflower,downy_mildew,No
cauliflower-downy_mildew,cauliflower_Downy Mildew. (21).jpeg,cauliflower,downy_mildew,No
cauliflower-downy_mildew,cauliflower_Downy Mildew. (20).jpg,cauliflower,downy_mildew,No
cauliflower-downy_mildew,cauliflower_Downy Mildew. (77).jpg,cauliflower,downy_mildew,No
cauliflower-downy_mildew,cauliflower_Downy Mildew. (23).jpeg,cauliflower,downy_mildew,No
cauliflower-downy_mildew,cauliflower_Downy Mildew. (98).jpg,cauliflower,downy_mildew,No
cauliflower-downy_mildew,cauliflower_Downy Mildew. (61).jpg,cauliflower,downy_mildew,No
cauliflower-downy_mildew,cauliflower_Downy Mildew. (36).jpg,cauliflower,downy_mildew,No
cauliflower-downy_mildew,cauliflower_Downy Mildew. (8).jpg,cauliflower,downy_mildew,No
cauliflower-downy_mildew,cauliflower_Downy Mildew. (106).jpg,cauliflower,downy_mildew,No
cauliflower-downy_mildew,cauliflower_Downy Mildew. (110).jpg,cauliflower,downy_mildew,No
cauliflower-downy_mildew,cauliflower_Downy Mildew. (146).jpg,cauliflower,downy_mildew,No
cauliflower-downy_mildew,cauliflower_Downy Mildew. (111).jpg,cauliflower,downy_mildew,No
cauliflower-downy_mildew,cauliflower_Downy Mildew. (9).jpeg,cauliflower,downy_mildew,No
cauliflower-downy_mildew,cauliflower_Downy Mildew. (107).jpg,cauliflower,downy_mildew,No
cauliflower-downy_mildew,cauliflower_Downy Mildew. (9).jpg,cauliflower,downy_mildew,No
cauliflower-downy_mildew,cauliflower_Downy Mildew. (37).jpg,cauliflower,downy_mildew,No
cauliflower-downy_mildew,cauliflower_Downy Mildew. (27).jpeg,cauliflower,downy_mildew,No
cauliflower-downy_mildew,cauliflower_Downy Mildew. (60).jpg,cauliflower,downy_mildew,No
cauliflower-downy_mildew,cauliflower_Downy Mildew. (76).jpg,cauliflower,downy_mildew,No
cauliflower-downy_mildew,cauliflower_Downy Mildew. (99).jpg,cauliflower,downy_mildew,No
cauliflower-downy_mildew,cauliflower_Downy Mildew. (21).jpg,cauliflower,downy_mildew,No
cauliflower-downy_mildew,cauliflower_Downy Mildew. (56).jpg,cauliflower,downy_mildew,No
cauliflower-downy_mildew,cauliflower_Downy Mildew. (18).jpeg,cauliflower,downy_mildew,No
cauliflower-downy_mildew,cauliflower_Downy Mildew. (17).jpg,cauliflower,downy_mildew,No
cauliflower-downy_mildew,cauliflower_Downy Mildew. (25).jpeg,cauliflower,downy_mildew,No
cauliflower-downy_mildew,cauliflower_Downy Mildew. (40).jpg,cauliflower,downy_mildew,No
cauliflower-downy_mildew,cauliflower_Downy Mildew. (5).jpg,cauliflower,downy_mildew,No
cauliflower-downy_mildew,cauliflower_Downy Mildew. (127).jpg,cauliflower,downy_mildew,No
cauliflower-downy_mildew,cauliflower_Downy Mildew. (83).jpg,cauliflower,downy_mildew,No
cauliflower-downy_mildew,cauliflower_Downy Mildew. (95).jpg,cauliflower,downy_mildew,No
cauliflower-downy_mildew,cauliflower_Downy Mildew. (131).jpg,cauliflower,downy_mildew,No
